full_text,username,tweet_lower,tweet_no_url,tweet_no_mention_hashtag,tweet_no_punctuation,tweet_no_numbers,tweet_clean,tweet_tokenized,tweet_no_stopwords,tweet_stemmed,tweet_preprocessed,label
Bang Doel Terbaikkoe #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 #Jakartamenyala #MenyalaM3nang #RBRpramonorano #Jakarta #PramDoelMenang #Masprambangdoel #Pilkada #Pilkada2024 #DebatPilkadaJakarta #debatpublik #Pramonoanung https://t.co/8VPnsNq1Ir,narayasiregar,bang doel terbaikkoe #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 #jakartamenyala #menyalam3nang #rbrpramonorano #jakarta #pramdoelmenang #masprambangdoel #pilkada #pilkada2024 #debatpilkadajakarta #debatpublik #pramonoanung https://t.co/8vpnsnq1ir,bang doel terbaikkoe #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 #jakartamenyala #menyalam3nang #rbrpramonorano #jakarta #pramdoelmenang #masprambangdoel #pilkada #pilkada2024 #debatpilkadajakarta #debatpublik #pramonoanung ,bang doel terbaikkoe                   ,bang doel terbaikkoe                   ,bang doel terbaikkoe                   ,bang doel terbaikkoe,"['bang', 'doel', 'terbaikkoe']","['bang', 'doel', 'terbaikkoe']","['bang', 'doel', 'terbaikkoe']",bang doel terbaikkoe,0
Ngantuk ya pak? Hahaha sama. #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/TTKdhkI24O,narayasiregar,ngantuk ya pak? hahaha sama. #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/ttkdhki24o,ngantuk ya pak? hahaha sama. #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 ,ngantuk ya pak? hahaha sama.        ,ngantuk ya pak hahaha sama        ,ngantuk ya pak hahaha sama        ,ngantuk ya pak hahaha sama,"['ngantuk', 'ya', 'pak', 'hahaha', 'sama']","['ngantuk', 'hahaha']","['ngantuk', 'hahaha']",ngantuk hahaha,0
Hadeuh kang.. #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/qQDOEzUvGL,narayasiregar,hadeuh kang.. #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/qqdoezuvgl,hadeuh kang.. #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 ,hadeuh kang..        ,hadeuh kang        ,hadeuh kang        ,hadeuh kang,"['hadeuh', 'kang']","['hadeuh', 'kang']","['hadeuh', 'kang']",hadeuh kang,0
Sok kang #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/L5GElMAfVN,narayasiregar,sok kang #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/l5gelmafvn,sok kang #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 ,sok kang        ,sok kang        ,sok kang        ,sok kang,"['sok', 'kang']","['sok', 'kang']","['sok', 'kang']",sok kang,0
Halaaaaah... #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/2u2axooFoJ,MiminCantiQ,halaaaaah... #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/2u2axoofoj,halaaaaah... #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 ,halaaaaah...        ,halaaaaah        ,halaaaaah        ,halaaaaah,['halaaaaah'],['halaaaaah'],['halaaaaah'],halaaaaah,0
Gimanasih kang?? #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/HLdcM8uN8B,MiminCantiQ,gimanasih kang?? #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/hldcm8un8b,gimanasih kang?? #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 ,gimanasih kang??        ,gimanasih kang        ,gimanasih kang        ,gimanasih kang,"['gimanasih', 'kang']","['gimanasih', 'kang']","['gimanasih', 'kang']",gimanasih kang,0
Janji Suci Untuk Warga Jakarta #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/OQkuv5HyQE,MiminCantiQ,janji suci untuk warga jakarta #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/oqkuv5hyqe,janji suci untuk warga jakarta #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 ,janji suci untuk warga jakarta        ,janji suci untuk warga jakarta        ,janji suci untuk warga jakarta        ,janji suci untuk warga jakarta,"['janji', 'suci', 'untuk', 'warga', 'jakarta']","['janji', 'suci', 'warga', 'jakarta']","['janji', 'suci', 'warga', 'jakarta']",janji suci warga jakarta,0
Gimanasi konsepnya kang? #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/HE8Yn6O4jV,MiminCantiQ,gimanasi konsepnya kang? #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/he8yn6o4jv,gimanasi konsepnya kang? #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 ,gimanasi konsepnya kang?        ,gimanasi konsepnya kang        ,gimanasi konsepnya kang        ,gimanasi konsepnya kang,"['gimanasi', 'konsepnya', 'kang']","['gimanasi', 'konsepnya', 'kang']","['gimanasi', 'konsep', 'kang']",gimanasi konsep kang,0
Adem banget liat debat cagub cawagub DKI #debatcagubdki,Meidi23,adem banget liat debat cagub cawagub dki #debatcagubdki,adem banget liat debat cagub cawagub dki #debatcagubdki,adem banget liat debat cagub cawagub dki ,adem banget liat debat cagub cawagub dki ,adem banget liat debat cagub cawagub dki ,adem banget liat debat cagub cawagub dki,"['adem', 'banget', 'liat', 'debat', 'cagub', 'cawagub', 'dki']","['adem', 'banget', 'liat', 'debat', 'cagub', 'cawagub', 'dki']","['adem', 'banget', 'liat', 'debat', 'cagub', 'cawagub', 'dki']",adem banget liat debat cagub cawagub dki,0
sedang berlangsung debat cagub DKI Jakarta https://t.co/vOQeS6F60E link live streaming #debatedrama #debatenight #debatcagubdki #jakarta #dharmapongrekun #ridwankamil #pramonoanung https://t.co/6DW0vGdEI6,edorusia,sedang berlangsung debat cagub dki jakarta https://t.co/voqes6f60e link live streaming #debatedrama #debatenight #debatcagubdki #jakarta #dharmapongrekun #ridwankamil #pramonoanung https://t.co/6dw0vgdei6,sedang berlangsung debat cagub dki jakarta  link live streaming #debatedrama #debatenight #debatcagubdki #jakarta #dharmapongrekun #ridwankamil #pramonoanung ,sedang berlangsung debat cagub dki jakarta  link live streaming        ,sedang berlangsung debat cagub dki jakarta  link live streaming        ,sedang berlangsung debat cagub dki jakarta  link live streaming        ,sedang berlangsung debat cagub dki jakarta  link live streaming,"['sedang', 'berlangsung', 'debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming']","['debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming']","['debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming']",debat cagub dki jakarta link live streaming,0
sedang berlangsung debat cagub DKI Jakarta https://t.co/vOQeS6F60E link live streaming #debatedrama #debatenight #debatcagubdki #jakarta #dharmapongrekun #ridwankamil #pramonoanung https://t.co/yhKxgVNJeq,edorusia,sedang berlangsung debat cagub dki jakarta https://t.co/voqes6f60e link live streaming #debatedrama #debatenight #debatcagubdki #jakarta #dharmapongrekun #ridwankamil #pramonoanung https://t.co/yhkxgvnjeq,sedang berlangsung debat cagub dki jakarta  link live streaming #debatedrama #debatenight #debatcagubdki #jakarta #dharmapongrekun #ridwankamil #pramonoanung ,sedang berlangsung debat cagub dki jakarta  link live streaming        ,sedang berlangsung debat cagub dki jakarta  link live streaming        ,sedang berlangsung debat cagub dki jakarta  link live streaming        ,sedang berlangsung debat cagub dki jakarta  link live streaming,"['sedang', 'berlangsung', 'debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming']","['debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming']","['debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming']",debat cagub dki jakarta link live streaming,0
sedang berlangsung debat cagub DKI Jakarta https://t.co/vOQeS6F60E link live streaming #debatedrama #debatenight #debatcagubdki #jakarta https://t.co/O2vzv6xxab,edorusia,sedang berlangsung debat cagub dki jakarta https://t.co/voqes6f60e link live streaming #debatedrama #debatenight #debatcagubdki #jakarta https://t.co/o2vzv6xxab,sedang berlangsung debat cagub dki jakarta  link live streaming #debatedrama #debatenight #debatcagubdki #jakarta ,sedang berlangsung debat cagub dki jakarta  link live streaming     ,sedang berlangsung debat cagub dki jakarta  link live streaming     ,sedang berlangsung debat cagub dki jakarta  link live streaming     ,sedang berlangsung debat cagub dki jakarta  link live streaming,"['sedang', 'berlangsung', 'debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming']","['debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming']","['debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming']",debat cagub dki jakarta link live streaming,0
sedang berlangsung debat cagub DKI Jakarta https://t.co/vOQeS6F60E link live streaming #debatedrama #debatenight #debatcagubdki #jakarta https://t.co/wnD6NN2YEC,edorusia,sedang berlangsung debat cagub dki jakarta https://t.co/voqes6f60e link live streaming #debatedrama #debatenight #debatcagubdki #jakarta https://t.co/wnd6nn2yec,sedang berlangsung debat cagub dki jakarta  link live streaming #debatedrama #debatenight #debatcagubdki #jakarta ,sedang berlangsung debat cagub dki jakarta  link live streaming     ,sedang berlangsung debat cagub dki jakarta  link live streaming     ,sedang berlangsung debat cagub dki jakarta  link live streaming     ,sedang berlangsung debat cagub dki jakarta  link live streaming,"['sedang', 'berlangsung', 'debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming']","['debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming']","['debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming']",debat cagub dki jakarta link live streaming,0
sedang berlangsung debat cagub DKI Jakarta https://t.co/vOQeS6F60E link live streaming #debatedrama #debatenight #debatcagubdki #jakarta https://t.co/0KfoiIELmB,edorusia,sedang berlangsung debat cagub dki jakarta https://t.co/voqes6f60e link live streaming #debatedrama #debatenight #debatcagubdki #jakarta https://t.co/0kfoiielmb,sedang berlangsung debat cagub dki jakarta  link live streaming #debatedrama #debatenight #debatcagubdki #jakarta ,sedang berlangsung debat cagub dki jakarta  link live streaming     ,sedang berlangsung debat cagub dki jakarta  link live streaming     ,sedang berlangsung debat cagub dki jakarta  link live streaming     ,sedang berlangsung debat cagub dki jakarta  link live streaming,"['sedang', 'berlangsung', 'debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming']","['debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming']","['debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming']",debat cagub dki jakarta link live streaming,0
Visi Misi Lengkap Cagub DKI Jakarta 2024 Baca Ini Sebelum Nonton Debat https://t.co/ITUj1HQi6d #debatedrama #debatenight #debatcagubdki #jakarta,edorusia,visi misi lengkap cagub dki jakarta 2024 baca ini sebelum nonton debat https://t.co/ituj1hqi6d #debatedrama #debatenight #debatcagubdki #jakarta,visi misi lengkap cagub dki jakarta 2024 baca ini sebelum nonton debat  #debatedrama #debatenight #debatcagubdki #jakarta,visi misi lengkap cagub dki jakarta 2024 baca ini sebelum nonton debat     ,visi misi lengkap cagub dki jakarta 2024 baca ini sebelum nonton debat     ,visi misi lengkap cagub dki jakarta  baca ini sebelum nonton debat     ,visi misi lengkap cagub dki jakarta  baca ini sebelum nonton debat,"['visi', 'misi', 'lengkap', 'cagub', 'dki', 'jakarta', 'baca', 'ini', 'sebelum', 'nonton', 'debat']","['visi', 'misi', 'lengkap', 'cagub', 'dki', 'jakarta', 'baca', 'nonton', 'debat']","['visi', 'misi', 'lengkap', 'cagub', 'dki', 'jakarta', 'baca', 'nonton', 'debat']",visi misi lengkap cagub dki jakarta baca nonton debat,0
Balaikota akan dibuka kembali untuk warga #rbrpramonorano #JakartaMenyala #pramdoelmenang #menujubalaikota #masprambangrano #masprambangdoel #debatcagubdki #gubernurjakarta #foryou #fypage #foryoupage #Xviral https://t.co/svWbIO3F3q,kutilangmanja,balaikota akan dibuka kembali untuk warga #rbrpramonorano #jakartamenyala #pramdoelmenang #menujubalaikota #masprambangrano #masprambangdoel #debatcagubdki #gubernurjakarta #foryou #fypage #foryoupage #xviral https://t.co/svwbio3f3q,balaikota akan dibuka kembali untuk warga #rbrpramonorano #jakartamenyala #pramdoelmenang #menujubalaikota #masprambangrano #masprambangdoel #debatcagubdki #gubernurjakarta #foryou #fypage #foryoupage #xviral ,balaikota akan dibuka kembali untuk warga             ,balaikota akan dibuka kembali untuk warga             ,balaikota akan dibuka kembali untuk warga             ,balaikota akan dibuka kembali untuk warga,"['balaikota', 'akan', 'dibuka', 'kembali', 'untuk', 'warga']","['balaikota', 'dibuka', 'warga']","['balaikota', 'buka', 'warga']",balaikota buka warga,0
Mas Pram Bang Doel Siap Debat #JakartaMenyala #rbrpramonorano #masprambangdoel #pramdoelmenang #kagaribetdah #fyppppppppppppppppppppppp #fypage #foryourpage #Debate2024 #debatcagubdki #debatpertama #viral2024 https://t.co/9qqfMQJkDz,kutilangmanja,mas pram bang doel siap debat #jakartamenyala #rbrpramonorano #masprambangdoel #pramdoelmenang #kagaribetdah #fyppppppppppppppppppppppp #fypage #foryourpage #debate2024 #debatcagubdki #debatpertama #viral2024 https://t.co/9qqfmqjkdz,mas pram bang doel siap debat #jakartamenyala #rbrpramonorano #masprambangdoel #pramdoelmenang #kagaribetdah #fyppppppppppppppppppppppp #fypage #foryourpage #debate2024 #debatcagubdki #debatpertama #viral2024 ,mas pram bang doel siap debat             ,mas pram bang doel siap debat             ,mas pram bang doel siap debat             ,mas pram bang doel siap debat,"['mas', 'pram', 'bang', 'doel', 'siap', 'debat']","['mas', 'pram', 'bang', 'doel', 'debat']","['mas', 'pram', 'bang', 'doel', 'debat']",mas pram bang doel debat,0
Visi Misi Lengkap Cagub DKI Jakarta 2024 Baca Ini Sebelum Nonton Debat https://t.co/ITUj1HQi6d #Debate2024 #debatedrama #debatcagubdki,edorusia,visi misi lengkap cagub dki jakarta 2024 baca ini sebelum nonton debat https://t.co/ituj1hqi6d #debate2024 #debatedrama #debatcagubdki,visi misi lengkap cagub dki jakarta 2024 baca ini sebelum nonton debat  #debate2024 #debatedrama #debatcagubdki,visi misi lengkap cagub dki jakarta 2024 baca ini sebelum nonton debat    ,visi misi lengkap cagub dki jakarta 2024 baca ini sebelum nonton debat    ,visi misi lengkap cagub dki jakarta  baca ini sebelum nonton debat    ,visi misi lengkap cagub dki jakarta  baca ini sebelum nonton debat,"['visi', 'misi', 'lengkap', 'cagub', 'dki', 'jakarta', 'baca', 'ini', 'sebelum', 'nonton', 'debat']","['visi', 'misi', 'lengkap', 'cagub', 'dki', 'jakarta', 'baca', 'nonton', 'debat']","['visi', 'misi', 'lengkap', 'cagub', 'dki', 'jakarta', 'baca', 'nonton', 'debat']",visi misi lengkap cagub dki jakarta baca nonton debat,0
Ridwan Kamil menanyakan kepada Cagub nomor urut 2 terkait pandemi COVID-19 dalam debat perdana Pilgub Jakarta. Dharma Pongrekun menjawab pertanyaan dari RK tersebut! #detikcom #detikpilkada #pilkadajakarta #DebatCagub https://t.co/lV5HC8ZaMt,detikcom,ridwan kamil menanyakan kepada cagub nomor urut 2 terkait pandemi covid-19 dalam debat perdana pilgub jakarta. dharma pongrekun menjawab pertanyaan dari rk tersebut! #detikcom #detikpilkada #pilkadajakarta #debatcagub https://t.co/lv5hc8zamt,ridwan kamil menanyakan kepada cagub nomor urut 2 terkait pandemi covid-19 dalam debat perdana pilgub jakarta. dharma pongrekun menjawab pertanyaan dari rk tersebut! #detikcom #detikpilkada #pilkadajakarta #debatcagub ,ridwan kamil menanyakan kepada cagub nomor urut 2 terkait pandemi covid-19 dalam debat perdana pilgub jakarta. dharma pongrekun menjawab pertanyaan dari rk tersebut!     ,ridwan kamil menanyakan kepada cagub nomor urut 2 terkait pandemi covid19 dalam debat perdana pilgub jakarta dharma pongrekun menjawab pertanyaan dari rk tersebut     ,ridwan kamil menanyakan kepada cagub nomor urut  terkait pandemi covid dalam debat perdana pilgub jakarta dharma pongrekun menjawab pertanyaan dari rk tersebut     ,ridwan kamil menanyakan kepada cagub nomor urut  terkait pandemi covid dalam debat perdana pilgub jakarta dharma pongrekun menjawab pertanyaan dari rk tersebut,"['ridwan', 'kamil', 'menanyakan', 'kepada', 'cagub', 'nomor', 'urut', 'terkait', 'pandemi', 'covid', 'dalam', 'debat', 'perdana', 'pilgub', 'jakarta', 'dharma', 'pongrekun', 'menjawab', 'pertanyaan', 'dari', 'rk', 'tersebut']","['ridwan', 'kamil', 'cagub', 'nomor', 'urut', 'terkait', 'pandemi', 'covid', 'debat', 'perdana', 'pilgub', 'jakarta', 'dharma', 'pongrekun', 'rk']","['ridwan', 'kamil', 'cagub', 'nomor', 'urut', 'kait', 'pandemi', 'covid', 'debat', 'perdana', 'pilgub', 'jakarta', 'dharma', 'pongrekun', 'rk']",ridwan kamil cagub nomor urut kait pandemi covid debat perdana pilgub jakarta dharma pongrekun rk,0
Gak dateng ke debat perdana Pilgub Jakarta Anies asik nonton konser John Legend nih bareng keluarga #detikcom #AniesBaswedan #Konser #DebatCagub https://t.co/gEGRsiO7T1,detikcom,gak dateng ke debat perdana pilgub jakarta anies asik nonton konser john legend nih bareng keluarga #detikcom #aniesbaswedan #konser #debatcagub https://t.co/gegrsio7t1,gak dateng ke debat perdana pilgub jakarta anies asik nonton konser john legend nih bareng keluarga #detikcom #aniesbaswedan #konser #debatcagub ,gak dateng ke debat perdana pilgub jakarta anies asik nonton konser john legend nih bareng keluarga     ,gak dateng ke debat perdana pilgub jakarta anies asik nonton konser john legend nih bareng keluarga     ,gak dateng ke debat perdana pilgub jakarta anies asik nonton konser john legend nih bareng keluarga     ,gak dateng ke debat perdana pilgub jakarta anies asik nonton konser john legend nih bareng keluarga,"['gak', 'dateng', 'ke', 'debat', 'perdana', 'pilgub', 'jakarta', 'anies', 'asik', 'nonton', 'konser', 'john', 'legend', 'nih', 'bareng', 'keluarga']","['gak', 'dateng', 'debat', 'perdana', 'pilgub', 'jakarta', 'anies', 'nonton', 'konser', 'john', 'legend', 'nih', 'bareng', 'keluarga']","['gak', 'dateng', 'debat', 'perdana', 'pilgub', 'jakarta', 'anies', 'nonton', 'konser', 'john', 'legend', 'nih', 'bareng', 'keluarga']",gak dateng debat perdana pilgub jakarta anies nonton konser john legend nih bareng keluarga,0
Ridwan Kamil proposes 'demokrasi terpimpin' as a model for governing Jakarta.. ?? #debatcagub,iwilson69,ridwan kamil proposes 'demokrasi terpimpin' as a model for governing jakarta.. ?? #debatcagub,ridwan kamil proposes 'demokrasi terpimpin' as a model for governing jakarta.. ?? #debatcagub,ridwan kamil proposes 'demokrasi terpimpin' as a model for governing jakarta.. ?? ,ridwan kamil proposes demokrasi terpimpin as a model for governing jakarta  ,ridwan kamil proposes demokrasi terpimpin as a model for governing jakarta  ,ridwan kamil proposes demokrasi terpimpin as a model for governing jakarta,"['ridwan', 'kamil', 'proposes', 'demokrasi', 'terpimpin', 'as', 'a', 'model', 'for', 'governing', 'jakarta']","['ridwan', 'kamil', 'proposes', 'demokrasi', 'terpimpin', 'as', 'a', 'model', 'for', 'governing', 'jakarta']","['ridwan', 'kamil', 'proposes', 'demokrasi', 'pimpin', 'as', 'a', 'model', 'for', 'governing', 'jakarta']",ridwan kamil proposes demokrasi pimpin as a model for governing jakarta,0
Kun..kaga nyambung jawaban lu..ridwan Kamil mah demen ngadepin kaya gini..wkwkwk..#DebatCagub,cokkysiregar,kun..kaga nyambung jawaban lu..ridwan kamil mah demen ngadepin kaya gini..wkwkwk..#debatcagub,kun..kaga nyambung jawaban lu..ridwan kamil mah demen ngadepin kaya gini..wkwkwk..#debatcagub,kun..kaga nyambung jawaban lu..ridwan kamil mah demen ngadepin kaya gini..wkwkwk..,kunkaga nyambung jawaban luridwan kamil mah demen ngadepin kaya giniwkwkwk,kunkaga nyambung jawaban luridwan kamil mah demen ngadepin kaya giniwkwkwk,kunkaga nyambung jawaban luridwan kamil mah demen ngadepin kaya giniwkwkwk,"['kunkaga', 'nyambung', 'jawaban', 'luridwan', 'kamil', 'mah', 'demen', 'ngadepin', 'kaya', 'giniwkwkwk']","['kunkaga', 'nyambung', 'luridwan', 'kamil', 'mah', 'demen', 'ngadepin', 'kaya', 'giniwkwkwk']","['kunkaga', 'nyambung', 'luridwan', 'kamil', 'mah', 'demen', 'ngadepin', 'kaya', 'giniwkwkwk']",kunkaga nyambung luridwan kamil mah demen ngadepin kaya giniwkwkwk,0
Pernyataan itu diungkapkan dalam debat perdana Pilkada Jakarta di Kemayoran Minggu (6/10) malam. #ridwankamil #suswono #pilkadajakarta #pilgubjakarta #debatcagub #emakemak #sekolah #sekolahperempuan #perempuan,lensaRTV,pernyataan itu diungkapkan dalam debat perdana pilkada jakarta di kemayoran minggu (6/10) malam. #ridwankamil #suswono #pilkadajakarta #pilgubjakarta #debatcagub #emakemak #sekolah #sekolahperempuan #perempuan,pernyataan itu diungkapkan dalam debat perdana pilkada jakarta di kemayoran minggu (6/10) malam. #ridwankamil #suswono #pilkadajakarta #pilgubjakarta #debatcagub #emakemak #sekolah #sekolahperempuan #perempuan,pernyataan itu diungkapkan dalam debat perdana pilkada jakarta di kemayoran minggu (6/10) malam.         ,pernyataan itu diungkapkan dalam debat perdana pilkada jakarta di kemayoran minggu 610 malam         ,pernyataan itu diungkapkan dalam debat perdana pilkada jakarta di kemayoran minggu  malam         ,pernyataan itu diungkapkan dalam debat perdana pilkada jakarta di kemayoran minggu  malam,"['pernyataan', 'itu', 'diungkapkan', 'dalam', 'debat', 'perdana', 'pilkada', 'jakarta', 'di', 'kemayoran', 'minggu', 'malam']","['pernyataan', 'debat', 'perdana', 'pilkada', 'jakarta', 'kemayoran', 'minggu', 'malam']","['nyata', 'debat', 'perdana', 'pilkada', 'jakarta', 'mayor', 'minggu', 'malam']",nyata debat perdana pilkada jakarta mayor minggu malam,0
Kata Dharma tentang macet di Debat Pilkada Jakarta: perbaiki manajemen pastikan keamanan untuk kelompok prioritas. Perlu ditanamkan budaya antri. Urai kemacetan dengan mikro-trans yang terhubung. #dharmakun #dharmapangrekun #pilkadajakarta #pilgubjakarta #debatcagub,lensaRTV,kata dharma tentang macet di debat pilkada jakarta: perbaiki manajemen pastikan keamanan untuk kelompok prioritas. perlu ditanamkan budaya antri. urai kemacetan dengan mikro-trans yang terhubung. #dharmakun #dharmapangrekun #pilkadajakarta #pilgubjakarta #debatcagub,kata dharma tentang macet di debat pilkada jakarta: perbaiki manajemen pastikan keamanan untuk kelompok prioritas. perlu ditanamkan budaya antri. urai kemacetan dengan mikro-trans yang terhubung. #dharmakun #dharmapangrekun #pilkadajakarta #pilgubjakarta #debatcagub,kata dharma tentang macet di debat pilkada jakarta: perbaiki manajemen pastikan keamanan untuk kelompok prioritas. perlu ditanamkan budaya antri. urai kemacetan dengan mikro-trans yang terhubung.     ,kata dharma tentang macet di debat pilkada jakarta perbaiki manajemen pastikan keamanan untuk kelompok prioritas perlu ditanamkan budaya antri urai kemacetan dengan mikrotrans yang terhubung     ,kata dharma tentang macet di debat pilkada jakarta perbaiki manajemen pastikan keamanan untuk kelompok prioritas perlu ditanamkan budaya antri urai kemacetan dengan mikrotrans yang terhubung     ,kata dharma tentang macet di debat pilkada jakarta perbaiki manajemen pastikan keamanan untuk kelompok prioritas perlu ditanamkan budaya antri urai kemacetan dengan mikrotrans yang terhubung,"['kata', 'dharma', 'tentang', 'macet', 'di', 'debat', 'pilkada', 'jakarta', 'perbaiki', 'manajemen', 'pastikan', 'keamanan', 'untuk', 'kelompok', 'prioritas', 'perlu', 'ditanamkan', 'budaya', 'antri', 'urai', 'kemacetan', 'dengan', 'mikrotrans', 'yang', 'terhubung']","['dharma', 'macet', 'debat', 'pilkada', 'jakarta', 'perbaiki', 'manajemen', 'pastikan', 'keamanan', 'kelompok', 'prioritas', 'ditanamkan', 'budaya', 'antri', 'urai', 'kemacetan', 'mikrotrans', 'terhubung']","['dharma', 'macet', 'debat', 'pilkada', 'jakarta', 'baik', 'manajemen', 'pasti', 'aman', 'kelompok', 'prioritas', 'tanam', 'budaya', 'antri', 'urai', 'macet', 'mikrotrans', 'hubung']",dharma macet debat pilkada jakarta baik manajemen pasti aman kelompok prioritas tanam budaya antri urai macet mikrotrans hubung,0
gw kok ngeri bgt ya sama program ridwan kamil yg soal 1M per RW gak kebayang korupsinya #debatcagub #debatpilkadadki,see_sonya,gw kok ngeri bgt ya sama program ridwan kamil yg soal 1m per rw gak kebayang korupsinya #debatcagub #debatpilkadadki,gw kok ngeri bgt ya sama program ridwan kamil yg soal 1m per rw gak kebayang korupsinya #debatcagub #debatpilkadadki,gw kok ngeri bgt ya sama program ridwan kamil yg soal 1m per rw gak kebayang korupsinya  ,gw kok ngeri bgt ya sama program ridwan kamil yg soal 1m per rw gak kebayang korupsinya  ,gw kok ngeri bgt ya sama program ridwan kamil yg soal m per rw gak kebayang korupsinya  ,gw kok ngeri bgt ya sama program ridwan kamil yg soal m per rw gak kebayang korupsinya,"['gw', 'kok', 'ngeri', 'bgt', 'ya', 'sama', 'program', 'ridwan', 'kamil', 'yg', 'soal', 'm', 'per', 'rw', 'gak', 'kebayang', 'korupsinya']","['ngeri', 'program', 'ridwan', 'kamil', 'm', 'gak', 'kebayang', 'korupsinya']","['ngeri', 'program', 'ridwan', 'kamil', 'm', 'gak', 'bayang', 'korupsi']",ngeri program ridwan kamil m gak bayang korupsi,0
weh gak nyangka pak pramono sepinter itu ternyata. tau fakta dan pasal2 #debatcagub #debatpilkadadki,see_sonya,weh gak nyangka pak pramono sepinter itu ternyata. tau fakta dan pasal2 #debatcagub #debatpilkadadki,weh gak nyangka pak pramono sepinter itu ternyata. tau fakta dan pasal2 #debatcagub #debatpilkadadki,weh gak nyangka pak pramono sepinter itu ternyata. tau fakta dan pasal2  ,weh gak nyangka pak pramono sepinter itu ternyata tau fakta dan pasal2  ,weh gak nyangka pak pramono sepinter itu ternyata tau fakta dan pasal  ,weh gak nyangka pak pramono sepinter itu ternyata tau fakta dan pasal,"['weh', 'gak', 'nyangka', 'pak', 'pramono', 'sepinter', 'itu', 'ternyata', 'tau', 'fakta', 'dan', 'pasal']","['weh', 'gak', 'nyangka', 'pramono', 'sepinter', 'tau', 'fakta', 'pasal']","['weh', 'gak', 'nyangka', 'pramono', 'sepinter', 'tau', 'fakta', 'pasal']",weh gak nyangka pramono sepinter tau fakta pasal,0
